Facebook,2449,VERDADERO,2006
Twitter,339,FALSO,2006
Instagram,1000,VERDADERO,2010
YouTube,2000,FALSO,2005
LinkedIn,663,FALSO,2003
WhatsApp,1600,VERDADERO,2009
